Moviename'; 'Userscore';Author'
shutter-island;8;Tss5078
toy-story-3;10;Iky009
toy-story-3;9;YoursTruly
cloudy-with-a-chance-of-meatballs;10;Zilcell
moon;9;HyperS
food-inc;8;TDKinDallas
ice-age-dawn-of-the-dinosaurs;8;JacobL
9;10;MichaelW.
moon;10;KevinP
ice-age-dawn-of-the-dinosaurs;9;[Anonymous]
i-love-you-beth-cooper;9;cameronmorewood
zombieland;8;FilmVirtue
toy-story-3;10;worleyjamers
a-serious-man;8;Compi24
cloudy-with-a-chance-of-meatballs;8;FreedomFighters
this-is-it;10;SEROJ
the-hurt-locker;10;Ransack
toy-story-3;9;ncstatemike
this-is-it;8;FreedomFighters
inception;10;Razv
toy-story-3;10;MarkMusic
toy-story-3;8;sil3nt_nick
food-inc;8;MovieGuys
up;10;BobE.
shutter-island;9;anshiman
shutter-island;8;Spangle
up;10;smijatov
moon;9;CindyC.
land-of-the-lost;8;MichaelD
up;9;MichaelD
a-serious-man;10;hanneguacamole
shutter-island;9;dev92
up;9;aaronpaul121
the-proposal;10;LondonTruelove
toy-story-3;10;FreedomFighters
cloudy-with-a-chance-of-meatballs;8;EpicLadySponge
sherlock-holmes;10;EssenceOfSugar
drag-me-to-hell;8;Spielberg00
cloudy-with-a-chance-of-meatballs;8;MasterRiley
shutter-island;10;cameronmorewood
every-little-step;10;KathyS
ice-age-dawn-of-the-dinosaurs;9;DaveH
shutter-island;8;Compi24
up;10;homer4president
sherlock-holmes;9;StevenF
moon;9;Alex
up;10;hanneguacamole
sherlock-holmes;9;oxana
toy-story-3;10;SythusRATINGS
moon;9;PhilipJ
anvil!-the-story-of-anvil;10;BenM
up;10;EpicLadySponge
pandorum;8;JamesD
anvil!-the-story-of-anvil;8;ERG1008
up;9;grandpajoe6191
sherlock-holmes;9;Juanolo
moon;9;Seanismyname
zombieland;8;Dalek
shutter-island;10;SEROJ
drag-me-to-hell;8;smijatov
the-proposal;9;ChadS
up;10;Pixarlover
sherlock-holmes;8;Compi24
9;8;Meth-dude
the-proposal;8;BillJ
moon;9;ChrisC
shutter-island;8;MovieGuys
up;10;cameronmorewood
9;10;Th3GreenHorne7
drag-me-to-hell;8;Film_Fanatic_15
the-taking-of-pelham-1-2-3;8;CarlosS
sherlock-holmes;8;DibbHansen
land-of-the-lost;10;AaronJ
sherlock-holmes;9;MovieGuys
silent-light;9;ryancarroll88
the-hurt-locker;10;John
dance-flick;8;[Anonymous]
the-ugly-truth;10;Rikiege
away-we-go;8;JawsPapi87
land-of-the-lost;8;Scott
ice-age-dawn-of-the-dinosaurs;9;SEROJ
the-hurt-locker;9;MichaelT.
land-of-the-lost;10;DanielM.
tulpan;8;Tom
sherlock-holmes;8;BarneyOnMT
moon;9;Calexican
shutter-island;9;MasterRiley
easy-virtue;8;SheldonW.
inception;10;Creativita
easy-virtue;8;[Anonymous]
toy-story-3;9;MovieManiac83
crank-high-voltage;10;StevenM
zombieland;10;JohnL
moon;10;USG
year-one;8;JacobL
zombieland;10;AnonymousMC
pandorum;8;Khunter4382
toy-story-3;9;CineAutoctono
year-one;9;KevinB
toy-story-3;10;DanBurrito
moon;9;Tokyochuchu
zombieland;9;JB
up;10;gm101
land-of-the-lost;10;MattM
the-last-house-on-the-left;8;Razv
pandorum;8;imthenoob
year-one;10;JohnD
julia;10;BrentA
17-again;9;DibbHansen
tyson;10;[Anonymous]
i-love-you-man;8;heyitsmegrif4
17-again;8;MasterRiley
pandorum;9;Meth-dude
moon;9;Alexander_N
adventureland;8;KathyS
pandorum;8;Broyax
year-one;8;TDKinDallas
the-hurt-locker;8;JohnL
up;8;BobN.
17-again;8;TheQuietGamer
sunshine-cleaning;9;LarryS
zombieland;8;JamesB
toy-story-3;10;Muskrat147
inception;10;StevenF
tyson;10;John
up;9;HollyC
moon;8;Hyperbole
year-one;10;BryanK
the-proposal;10;gm101
inception;10;csw12
i-love-you-man;9;ChadS
inception;10;anshiman
tyson;8;spadenx
moon;8;beingryanjude
moon;8;potatoes351
inception;9;cameronmorewood
zombieland;8;DanC.
transformers-revenge-of-the-fallen;10;MattB
moon;8;Official
zombieland;10;ChrisR.
inception;10;ExKing
moon;8;Spangle
moon;10;Compi24
inception;10;Violett
the-hurt-locker;10;KeithP
land-of-the-lost;9;Kyle
zombieland;8;KenG
17-again;9;[Anonymous]
observe-and-report;10;Compi24
the-class;10;ryancarroll88
moon;8;CineAutoctono
observe-and-report;8;Meth-dude
the-hurt-locker;10;ChrisB
adventureland;8;[Anonymous]
the-class;9;EpicLadySponge
moon;9;abm0
inception;10;PeteG
crank-high-voltage;10;nunchuks
the-last-house-on-the-left;8;Meth-dude
adventureland;9;JohnJ
crank-high-voltage;8;Tokyochuchu
drag-me-to-hell;9;TDKinDallas
the-international;10;NerijusD.
gran-torino;9;DeVr33z
i-love-you-man;9;ElliotP
zombieland;8;PaulS
drag-me-to-hell;8;Aaron
gran-torino;8;FDT44
duplicity;10;TDKinDallas
transformers-revenge-of-the-fallen;10;MichaelD.
i-love-you-man;9;DanB
gran-torino;8;ryancarroll88
adventureland;9;Alex
transformers-revenge-of-the-fallen;8;MovieLonely94
drag-me-to-hell;9;TimH
adventureland;9;JamesP
up;10;JohnL
revolutionary-road;9;beingryanjude
inception;10;RP
zombieland;10;MattB.
the-international;10;TDKinDallas
i-love-you-man;9;TheQuietGamer
forever-strong;8;MarkR.
street-fighter-the-legend-of-chun-li;10;PhilJ.
hes-just-not-that-into-you;9;PatrickO.
drag-me-to-hell;10;PatrickD.
the-hurt-locker;10;Peter
transformers-revenge-of-the-fallen;9;DJ
i-love-you-man;9;JawsPapi87
the-hurt-locker;8;gm101
revolutionary-road;10;BenD.
confessions-of-a-shopaholic;10;[Anonymous]
zombieland;9;AndrewT.
i-love-you-man;8;StevenF
inception;10;JB
up;10;Chris
defiance;8;BobN
zombieland;9;SamH
i-love-you-man;10;cameronmorewood
duplicity;10;JamesH.
the-pink-panther-2;8;[Anonymous]
12-rounds;8;Tss5078
the-hurt-locker;9;Halfwelshman
up;10;Eliasc
the-hurt-locker;9;cylixdemas
friday-the-13th;8;GagaForGhibli
up;8;BrianM
the-hurt-locker;10;StevenF
up;10;JD
adventureland;9;DanC.
the-hurt-locker;9;spadenx
stranded-ive-come-from-a-plane-that-crashed-on-the-mountains;10;MarkS
last-chance-harvey;9;KathyS
friday-the-13th;8;[Anonymous]
adventureland;8;J-Shap
the-hurt-locker;10;Juanolo
the-curious-case-of-benjamin-button;9;PaulF.
revolutionary-road;10;NerijusD.
jcvd;10;DennisD
the-curious-case-of-benjamin-button;8;JohnH.
taken;10;PaulS
the-curious-case-of-benjamin-button;9;Trev29
the-hurt-locker;8;dev92
friday-the-13th;9;JasonP
adventureland;8;dev92
wendy-and-lucy;9;AdamC
adventureland;8;YoursTruly
inception;8;JamesH.
the-curious-case-of-benjamin-button;10;SamS.
adventureland;8;worleyjamers
the-hurt-locker;10;YoursTruly
jcvd;9;ChrisB
the-curious-case-of-benjamin-button;9;Paxster
adventureland;9;StevenF
inception;8;Andrew
friday-the-13th;9;JohnM
bride-wars;8;kingshahid
up;9;MiguelG
the-curious-case-of-benjamin-button;8;Rikiege
inception;10;JM
transformers-revenge-of-the-fallen;10;John
last-chance-harvey;10;[Anonymous]
knowing;10;JAM123
taken;10;ClaudioC
push;9;DanL
the-hurt-locker;9;EpicLadySponge
push;8;Tss5078
up;10;ChrisB
revolutionary-road;9;KeeD.
jcvd;8;Broyax
transformers-revenge-of-the-fallen;10;GeorgeB.
the-hurt-locker;8;[Anonymous]
up;10;DavidB
push;10;Patrick94
revolutionary-road;8;csw12
revolutionary-road;8;Trev29
revolutionary-road;8;Spangle
gran-torino;10;JohnM
drag-me-to-hell;10;JamesB
role-models;9;Ben
knowing;8;MikeM
drag-me-to-hell;10;JA
cadillac-records;9;KevinP
rachel-getting-married;9;RichardM.
gran-torino;10;JohnH.
cadillac-records;9;[Anonymous]
role-models;9;BobM
friday-the-13th;8;djcmusic
role-models;9;[Anonymous]
gran-torino;10;Tom
gran-torino;10;TimH
gran-torino;10;[Anonymous]
up;10;MattF
transformers-revenge-of-the-fallen;8;spadenx
the-boy-in-the-striped-pajamas;9;ERG1008
up;10;KennyM
the-boy-in-the-striped-pajamas;9;mauriciol
let-the-right-one-in;9;BobN
taken;9;MetalMan95
taken;9;TheQuietGamer
role-models;8;RyanM.
up;8;JamesH.
the-boy-in-the-striped-pajamas;8;StevenF
taken;8;Compi24
the-boy-in-the-striped-pajamas;8;SEROJ
drag-me-to-hell;8;[Anonymous]
religulous;10;OneWhoKnows
the-curious-case-of-benjamin-button;10;Judddy
role-models;9;TheQuietGamer
australia;8;[Anonymous]
rachel-getting-married;10;JohnA
role-models;9;JawsPapi87
happy-go-lucky;10;John
changeling;9;MetalMan95
role-models;8;Zilcell
milk;10;JasonB.
synecdoche-new-york;10;RyanM.
frozen-river;10;[Anonymous]
role-models;8;homer4president
australia;9;DavidS.
miracle-at-st-anna;10;JT.
synecdoche-new-york;8;BobN
the-midnight-meat-train;8;PatrickB.
body-of-lies;10;Enrique
let-the-right-one-in;10;DavidP.
drag-me-to-hell;8;Spangle
let-the-right-one-in;10;Andrew
body-of-lies;10;JohnM.
synecdoche-new-york;10;MarkR.
happy-go-lucky;9;BobE.
body-of-lies;8;GregA
religulous;9;MichaelT.
blindness;10;Enrique
australia;10;Fantasy
taken;9;JackB
religulous;10;Enrique
let-the-right-one-in;10;CS
drag-me-to-hell;8;CineAutoctono
religulous;9;SteveF
transformers-revenge-of-the-fallen;9;DanC.
religulous;9;JasonB.
milk;9;Enrique
let-the-right-one-in;9;TerenceS
australia;9;TDKinDallas
changeling;9;Fantasy
religulous;8;Andrew
twilight;10;LeahR
let-the-right-one-in;10;NateH.
changeling;9;ChadS
milk;10;LeeS.
synecdoche-new-york;10;StevenF
my-best-friends-girl;8;TheQuietGamer
the-children-of-huang-shi;8;oxana
synecdoche-new-york;10;Spangle
city-of-ember;10;JonathanS
my-best-friends-girl;10;JohnM.
repo!-the-genetic-opera;8;AlexB
quarantine;8;Alex
milk;9;ArnoldP.
the-family-that-preys;10;[Anonymous]
mirrors;9;SteveA.
australia;10;JohnnyStephens
let-the-right-one-in;10;JohnM.
quarantine;8;Meth-dude
man-on-wire;8;grandpajoe6191
horton-hears-a-who!;8;Zilcell
the-dark-knight;8;grandpajoe6191
burn-after-reading;9;AndrewP.
savage-grace;10;[Anonymous]
the-chronicles-of-narnia-prince-caspian;9;gm101
milk;10;spadenx
man-on-wire;9;EpicLadySponge
hamlet-2;9;MarkS
burn-after-reading;8;nboley08
milk;8;imthenoob
milk;10;beingryanjude
horton-hears-a-who!;8;EpicLadySponge
the-chronicles-of-narnia-prince-caspian;10;MovieLonely94
milk;8;Trev29
mirrors;8;Meth-dude
milk;8;Spangle
let-the-right-one-in;8;Film_Fanatic_15
the-dark-knight;10;Poopman157
the-dark-knight;10;Tss5078
burn-after-reading;10;StevenF
the-dark-knight;10;Official
the-dark-knight;9;Rox22
appaloosa;9;Tokyochuchu
traitor;9;[Anonymous]
the-dark-knight;10;shprea
repo!-the-genetic-opera;8;MattK
horton-hears-a-who!;9;Tom
the-dark-knight;10;Pimpinpakman
repo!-the-genetic-opera;8;MattB
transsiberian;10;JimC.
religulous;10;John
traitor;8;ERG1008
traitor;10;Tss5078
the-mummy-tomb-of-the-dragon-emperor;10;DavidD.
what-we-do-is-secret;8;GP
milk;10;cameronmorewood
horton-hears-a-who!;10;DanC.
milk;8;Compi24
milk;9;worleyjamers
kung-fu-panda;8;aaronpaul121
let-the-right-one-in;8;Halfwelshman
kung-fu-panda;9;MetalMan95
milk;10;hanneguacamole
tropic-thunder;9;JAM123
kung-fu-panda;8;grandpajoe6191
kung-fu-panda;9;MovieLonely94
religulous;9;VAFranky
horton-hears-a-who!;10;Ben
wall-e;8;ryancarroll88
rachel-getting-married;8;roberti
kung-fu-panda;10;Zilcell
wall-e;10;JawsPapi87
hellboy-ii-the-golden-army;8;homer4president
kung-fu-panda;9;HyperS
wall-e;10;gm101
tropic-thunder;10;DavidW.
tropic-thunder;9;lovemusic
mamma-mia!;10;Fantasy
star-wars-the-clone-wars;10;gm101
death-race;10;[Anonymous]
burn-after-reading;9;AlanG
wall-e;9;Potter17
let-the-right-one-in;8;Spangle
the-dark-knight;10;Compi24
wall-e;9;SEROJ
let-the-right-one-in;8;Compi24
death-race;8;TheQuietGamer
saw-v;8;AndrewB.
rachel-getting-married;8;Potter17
get-smart;8;JonathanL.
rachel-getting-married;8;beingryanjude
rachel-getting-married;9;Spangle
horton-hears-a-who!;8;MovieLonely94
horton-hears-a-who!;8;MichaelD
get-smart;8;CRL
horton-hears-a-who!;9;Juanolo
get-smart;8;cameronmorewood
wall-e;9;rodericrinehart
get-smart;9;MovieGuys
death-race;8;Meth-dude
the-chronicles-of-narnia-prince-caspian;9;KyleW.
max-payne;8;KyleW.
wall-e;8;MovieLonely94
saw-v;8;TheQuietGamer
the-dark-knight;9;SkyrimGuy935
get-smart;8;homer4president
saw-v;8;spadenx
saw-v;8;imthenoob
horton-hears-a-who!;8;Futuredirector
burn-after-reading;9;TroelsS.
star-wars-the-clone-wars;10;Aaron
get-smart;9;JoshuaB.
the-dark-knight;10;tjman09
wall-e;10;csw12
star-wars-the-clone-wars;10;[Anonymous]
burn-after-reading;9;[Anonymous]
max-payne;10;NathanS.
wall-e;9;JawsLaxerDrama
tropic-thunder;8;TimE.
wall-e;9;EpicLadySponge
hellboy-ii-the-golden-army;8;TDKinDallas
wall-e;10;MetalMan95
snow-angels;8;TomM.
the-dark-knight;9;Epik_Ninnja
wall-e;10;heyitsmegrif4
the-forbidden-kingdom;8;DaveJ.
youngheart;10;Chris
the-fall;9;worleyjamers
wall-e;10;RaulC.
burn-after-reading;8;MikeB.
pathology;9;[Anonymous]
burn-after-reading;8;AnonymousMC
the-dark-knight;10;gm101
wall-e;9;grandpajoe6191
hellboy-ii-the-golden-army;10;JohnE.
the-chronicles-of-narnia-prince-caspian;10;[Anonymous]
max-payne;8;Matt
the-dark-knight;9;Tokyochuchu
wall-e;9;MichaelD
speed-racer;10;MattB.
hellboy-ii-the-golden-army;10;ChadS
burn-after-reading;10;Aaron
the-dark-knight;10;Zilcell
wall-e;10;TheGorilla
speed-racer;10;MichaelD.
wall-e;9;YoursTruly
the-forbidden-kingdom;9;DanielL
pathology;8;oxana
the-mummy-tomb-of-the-dragon-emperor;8;DibbHansen
kung-fu-panda;10;Judddy
kung-fu-panda;8;MichaelD
burn-after-reading;9;MarkR.
the-dark-knight;10;dharma
kung-fu-panda;9;Khunter4382
the-dark-knight;10;rollingstone82
the-dark-knight;9;Potter17
kung-fu-panda;8;LevelsAndGear
the-dark-knight;10;KgnDavel
run-fatboy-run;8;JosephB.
the-dark-knight;8;spadenx
sex-and-the-city;10;SteveC.
run-fatboy-run;10;JohnF.
the-love-guru;10;DanB
mamma-mia!;10;AaronL.
star-wars-the-clone-wars;10;BrandonM
kung-fu-panda;9;Juanolo
the-dark-knight;9;jedijared182
baby-mama;9;AnonymousMC
the-forbidden-kingdom;10;JasonA
hellboy-ii-the-golden-army;9;Trevor
get-smart;8;[Anonymous]
kung-fu-panda;9;sil3nt_nick
the-chronicles-of-narnia-prince-caspian;9;DibbHansen
the-fall;10;MattK
the-love-guru;8;MM
the-fall;9;MarkM.
hellboy-ii-the-golden-army;8;AlexG.
the-love-guru;9;[Anonymous]
kung-fu-panda;8;MovieGuys
the-forbidden-kingdom;8;TheQuietGamer
speed-racer;8;[Anonymous]
kung-fu-panda;8;cag11
the-dark-knight;10;Pixarlover
get-smart;8;DavidS.
tropic-thunder;10;[Anonymous]
kung-fu-panda;10;FreedomFighters
the-dark-knight;9;heyitsmegrif4
mamma-mia!;9;TomM.
sex-and-the-city;8;JB
the-dark-knight;10;ascoltami86
kung-fu-panda;8;diogomendes
the-love-guru;9;TheQuietGamer
meet-bill;10;NateH.
burn-after-reading;8;JohnL.
the-love-guru;8;Zilcell
speed-racer;10;DavidM.
step-up-2-the-streets;8;MattK
kung-fu-panda;8;homer4president
hellboy-ii-the-golden-army;9;[Anonymous]
kung-fu-panda;8;CineAutoctono
the-love-guru;10;JohnnyStephens
step-up-2-the-streets;9;MovieLonely94
kung-fu-panda;8;EpicLadySponge
penelope;8;PaulF.
sex-and-the-city;9;AS
kung-fu-panda;9;Futuredirector
the-counterfeiters;10;Fantasy
the-dark-knight;10;TheNewSpielberg
hellboy-ii-the-golden-army;9;Halfwelshman
harold-kumar-escape-from-guantanamo-bay;9;[Anonymous]
tropic-thunder;9;KyleW.
bankjob;9;JohnR.
21;9;[Anonymous]
hellboy-ii-the-golden-army;8;Spangle
the-counterfeiters;8;ERG1008
hellboy-ii-the-golden-army;8;Compi24
step-up-2-the-streets;8;BenD.
persepolis;8;smijatov
twilight;9;AlexM.
in-bruges;8;grandpajoe6191
charlie-bartlett;8;cameronmorewood
the-hammer;10;SteveC.
twilight;10;PatrickD.
in-bruges;9;Gary
the-dark-knight;10;MovieLonely94
bankjob;8;SteveF
never-back-down;10;BenD.
persepolis;9;EpicLadySponge
speed-racer;8;RyanM.
mamma-mia!;9;Candy-Floss
the-ruins;8;Meth-dude
speed-racer;10;Rikiege
bankjob;8;MovieGuys
the-air-i-breathe;8;grandpajoe6191
flawless;8;BobE.
the-eye;10;MichaelD.
cassandras-dream;8;TomM.
burn-after-reading;10;Fantasy
harold-kumar-escape-from-guantanamo-bay;9;ChrisW.
witless-protection;10;JohnM
in-bruges;9;Tokyochuchu
in-bruges;8;ovi_bz
the-air-i-breathe;8;Tss5078
in-bruges;9;StevenF
persepolis;10;SamS.
harold-kumar-escape-from-guantanamo-bay;8;PaulF.
control;8;MattA
twilight;10;JimC.
in-bruges;9;moonman1994
cassandras-dream;9;oxana
in-bruges;8;Spangle
in-bruges;8;Compi24
harold-kumar-escape-from-guantanamo-bay;8;kingshahid
speed-racer;8;MikeM.
doomsday;9;Chris
control;9;DavidW.
vantage-point;8;chads
burn-after-reading;8;Tokyochuchu
in-bruges;8;Viper8787
the-hottie-the-nottie;10;JohnF
bella;10;ChrisR.
burn-after-reading;8;beingryanjude
control;8;ERG1008
burn-after-reading;8;Spangle
im-not-there;8;MarkS
untraceable;10;JohnH.
twilight;9;KyleW.
control;9;cameronmorewood
im-not-there;9;JackS.
burn-after-reading;8;MovieGuys
the-eye;8;Meth-dude
youth-without-youth;9;Enrique
the-great-debaters;9;JimC.
doomsday;9;[Anonymous]
lars-and-the-real-girl;8;ChrisC
the-savages;8;Spangle
10000-bc;9;DavidS.
the-11th-hour;8;PaulF.
vantage-point;10;PaulG.
sex-and-the-city;8;AndreaK
juno;10;JohnZ
the-great-debaters;10;Tss5078
the-11th-hour;10;Enrique
before-the-devil-knows-youre-dead;9;cameronmorewood
doomsday;8;oxana
one-missed-call;8;[Anonymous]
the-savages;8;DavidS.
lars-and-the-real-girl;9;TomF.
juno;8;beingryanjude
10000-bc;10;DanC.
trailer-park-boys-the-movie;10;ChrisB
10000-bc;10;[Anonymous]
the-orphanage;8;MichaelF.
10000-bc;8;AndrewT
in-bruges;9;TomM.
before-the-devil-knows-youre-dead;10;Tyler
im-not-there;9;DanielP.
enchanted;9;KevinC.
speed-racer;8;TomM.
love-in-the-time-of-cholera;8;AaronL.
the-orphanage;9;KevinC.
avpr-aliens-vs-predator---requiem;8;MattB
in-bruges;8;ERG1008
avpr-aliens-vs-predator---requiem;10;[Anonymous]
enchanted;10;John
the-water-horse;8;ChadS
im-not-there;8;Paxster
wristcutters-a-love-story;8;MM
im-not-there;9;ryancarroll88
lars-and-the-real-girl;10;MikeM.
the-orphanage;9;RyanM.
vantage-point;8;Meth-dude
juno;8;ERG1008
the-orphanage;8;EmericC
avpr-aliens-vs-predator---requiem;8;DanP.
juno;8;juliankleiss
i-am-legend;8;JasonJ.
the-water-horse;9;Futuredirector
the-mist;8;grandpajoe6191
i-am-legend;10;PatrickB.
the-orphanage;8;[Anonymous]
juno;8;Spielberg00
the-orphanage;8;ERG1008
the-orphanage;8;fanguychris
juno;8;Spangle
the-kite-runner;8;MichaelB.
enchanted;8;DavidS.
the-mist;9;FrozenStar90
juno;10;cameronmorewood
juno;10;TheWalrus2000
lars-and-the-real-girl;10;beingryanjude
enchanted;9;AS
lars-and-the-real-girl;8;Spangle
the-orphanage;9;Spangle
lars-and-the-real-girl;8;Compi24
walk-hard-the-dewey-cox-story;9;[Anonymous]
lars-and-the-real-girl;9;Summersausage
i-am-legend;9;Chris
juno;10;hanneguacamole
enchanted;10;SamS.
sweeney-todd-the-demon-barber-of-fleet-street;10;Matt
sweeney-todd-the-demon-barber-of-fleet-street;9;moonman1994
speed-racer;9;DavidD.
sweeney-todd-the-demon-barber-of-fleet-street;10;Necromus
juno;8;AaronWasserman1
2-days-in-paris;10;KathyS
in-the-shadow-of-the-moon;10;KevinC.
juno;9;MasterRiley
speed-racer;10;PeterL.
juno;9;MattA
i-am-legend;8;MichaelT.
sweeney-todd-the-demon-barber-of-fleet-street;8;grandpajoe6191
sweeney-todd-the-demon-barber-of-fleet-street;9;heyitsmegrif4
the-mist;8;worleyjamers
speed-racer;9;FrankB.
speed-racer;8;MattM.
enchanted;10;Fantasy
the-mist;8;Meth-dude
alvin-and-the-chipmunks;8;gm101
2-days-in-paris;8;JM
i-am-legend;10;JackS.
2-days-in-paris;8;DavidS.
avpr-aliens-vs-predator---requiem;10;MattM.
before-the-devil-knows-youre-dead;9;PaulD.
before-the-devil-knows-youre-dead;9;JosephL.
alvin-and-the-chipmunks;8;Zilcell
enchanted;9;HyperS
there-will-be-blood;10;nboley08
the-mist;9;JohnL.
there-will-be-blood;8;ERG1008
enchanted;9;MovieLonely94
the-invasion;8;Meth-dude
there-will-be-blood;10;ryancarroll88
atonement;9;ChrisG
speed-racer;10;PhilB.
the-king-of-kong-a-fistful-of-quarters;10;[Anonymous]
there-will-be-blood;9;Spangle
the-king-of-kong-a-fistful-of-quarters;9;ChrisS.
king-of-california;10;BobN.
there-will-be-blood;10;MovieGuys
there-will-be-blood;10;DavidS.
enchanted;8;Trev29
the-king-of-kong-a-fistful-of-quarters;9;DavidM.
there-will-be-blood;10;MichaelR.
the-king-of-kong-a-fistful-of-quarters;10;MarkM.
enchanted;9;diogomendes
the-invasion;8;BillH.
speed-racer;9;MovieLonely94
enchanted;8;CineAutoctono
enchanted;8;EpicLadySponge
the-king-of-kong-a-fistful-of-quarters;10;ryancarroll88
310-to-yuma;8;Hyperbole
eagle-vs-shark;9;Ben
the-king-of-kong-a-fistful-of-quarters;9;Paxster
the-king-of-kong-a-fistful-of-quarters;8;Zilcell
the-king-of-kong-a-fistful-of-quarters;10;LevelsAndGear
gone-baby-gone;8;[Anonymous]
dragon-wars-d-war;9;easypeasy118
the-mist;10;[Anonymous]
eagle-vs-shark;8;Summersausage
the-mist;9;MattF
i-am-legend;10;PeterO.
gone-baby-gone;10;Chris
the-simpsons-movie;9;MovieLonely94
once;10;ryancarroll88
sunshine;9;grandpajoe6191
310-to-yuma;10;Xerxes
the-bourne-ultimatum;8;DanC.
atonement;10;DanP.
the-brothers-solomon;10;KevinC.
there-will-be-blood;10;StevenF
eastern-promises;8;MichaelH
eastern-promises;9;Alex
harry-potter-and-the-order-of-the-phoenix;10;gm101
the-bourne-ultimatum;9;Judddy
the-simpsons-movie;8;emlugo123
the-simpsons-movie;8;homer4president
atonement;9;DavidM.
the-bourne-ultimatum;8;imthenoob
harry-potter-and-the-order-of-the-phoenix;8;JawsPapi87
the-simpsons-movie;8;grandpajoe6191
rush-hour-3;9;ChrisW.
harry-potter-and-the-order-of-the-phoenix;9;heyitsmegrif4
eastern-promises;9;MikeM
the-heartbreak-kid;10;KevinC.
once;10;ChadS
gone-baby-gone;10;StevenF
the-bourne-ultimatum;9;sinadoom
the-bourne-ultimatum;9;Meth-dude
once;10;MattA
harry-potter-and-the-order-of-the-phoenix;8;MovieLonely94
the-simpsons-movie;10;GagaForGhibli
once;9;KathyS
gone-baby-gone;9;Spangle
amazing-grace;8;John
there-will-be-blood;10;cameronmorewood
live-free-or-die-hard;10;MovieGuys
gone-baby-gone;8;Compi24
there-will-be-blood;10;Compi24
eastern-promises;10;[Anonymous]
gone-baby-gone;8;ExKing
there-will-be-blood;10;worleyjamers
the-mist;9;JackS.
eastern-promises;10;MarkG.
the-kingdom;10;Orson
once;8;PaulF.
stardust;9;ErikJ
the-kingdom;8;JasonJ.
sunshine;8;Halfwelshman
the-mist;8;JohnM.
atonement;10;Fantasy
the-mist;9;MattB.
eastern-promises;10;PaulD.
harry-potter-and-the-order-of-the-phoenix;9;[Anonymous]
ratatouille;10;Zilcell
oceans-thirteen;10;Matt
ratatouille;9;csw12
the-bourne-ultimatum;9;JamesH.
sunshine;10;potatoes351
ratatouille;10;Violett
la-vie-en-rose;10;JasonA
the-bourne-ultimatum;9;MarkM.
once;8;DanC.
ratatouille;10;JawsPapi87
ratatouille;10;heyitsmegrif4
ratatouille;10;gm101
shrek-the-third;10;Necromus
the-heartbreak-kid;8;Meth-dude
la-vie-en-rose;10;Fantasy
amazing-grace;9;PaulF.
amazing-grace;8;BobN.
sunshine;8;[Anonymous]
the-kingdom;8;Andrew
the-santa-clause-3-the-escape-clause;8;MasterRiley
stardust;9;JackB
ratatouille;8;grandpajoe6191
ratatouille;10;aaronpaul121
la-vie-en-rose;10;MarkG.
ratatouille;10;GagaForGhibli
stardust;9;AndrewT.
la-vie-en-rose;9;ERG1008
la-vie-en-rose;9;Halfwelshman
la-vie-en-rose;8;Iky009
oceans-thirteen;8;JohnH.
sweeney-todd-the-demon-barber-of-fleet-street;9;DavidH.
hairspray;10;TimL
once;10;Peter
the-simpsons-movie;10;AlexG.
sunshine;8;JackB
rescue-dawn;8;Meth-dude
sunshine;9;ThomasL
eastern-promises;9;AdamB
the-bourne-ultimatum;9;halb
stardust;9;Matt
the-simpsons-movie;10;MattA
once;9;GregA
there-will-be-blood;8;grandpajoe6191
a-mighty-heart;10;JohnW.
sunshine;8;Joey
eastern-promises;8;AlexB
oceans-thirteen;8;oxana
there-will-be-blood;10;MattA
atonement;9;EssenceOfSugar
atonement;10;beingryanjude
a-mighty-heart;10;LeeS.
meet-the-robinsons;9;DanBurrito
spider-man-3;10;gm101
shrek-the-third;8;MovieLonely94
the-simpsons-movie;8;Scott
once;10;PaulD.
oceans-thirteen;8;Rikiege
there-will-be-blood;8;Tokyochuchu
live-free-or-die-hard;9;Fantasy
the-reaping;9;JohnF.
meet-the-robinsons;8;EpicLadySponge
the-mist;10;Andrew
oceans-thirteen;8;jfrotylpe532
hairspray;9;Trev29
atonement;8;Trev29
the-mist;8;BobN
shrek-the-third;8;MichaelD
atonement;8;Spangle
the-simpsons-movie;10;[Anonymous]
there-will-be-blood;9;spadenx
spider-man-3;8;Zilcell
hairspray;9;Rikiege
atonement;10;worleyjamers
sweeney-todd-the-demon-barber-of-fleet-street;9;JosephA
the-bourne-ultimatum;10;RaniS
atonement;8;TheWalrus2000
a-mighty-heart;10;RyanM.
the-invisible;8;Tss5078
shrek-the-third;8;Zilcell
stardust;8;MovieLonely94
the-invisible;8;oxana
meet-the-robinsons;9;MovieLonely94
stardust;9;heyitsmegrif4
atonement;8;hanneguacamole
talk-to-me;10;DP
stardust;8;oxana
there-will-be-blood;10;Khunter4382
spider-man-3;8;JackB
the-bourne-ultimatum;10;[Anonymous]
once;10;MikeM.
transformers;9;MovieLonely94
stardust;9;sil3nt_nick
spider-man-3;8;MovieLonely94
the-mist;10;bfoore90
once;10;DanB
live-free-or-die-hard;10;[Anonymous]
eastern-promises;8;Spangle
the-bourne-ultimatum;9;AlexG.
spider-man-3;10;[Anonymous]
eastern-promises;8;cameronmorewood
once;10;KB
