Moviename'; 'Userscore';Author'
wonder-woman;8;supermann234
logan-2017;9;TheQuietGamer
the-accountant;8;TheQuietGamer
wonder-woman;8;homer4president
the-nightmare;8;TheQuietGamer
passengers-2016;8;abm0
hell-or-high-water;9;tjman09
sully;8;Muskrat147
doctor-strange;9;TheQuietGamer
hell-or-high-water;8;Compi24
anthropoid;8;MovieGuys
mechanic-resurrection;8;Meth-dude
arrival;8;CineAutoctono
jason-bourne;8;bfoore90
doctor-strange;10;Violett
kubo-and-the-two-strings;9;Muskrat147
jason-bourne;8;DanBurrito
hell-or-high-water;8;Spangle
logan-2017;10;Th3GreenHorne7
jason-bourne;8;sinadoom
kubo-and-the-two-strings;9;TheQuietGamer
logan-2017;8;Blanche
our-kind-of-traitor;8;Spangle
kubo-and-the-two-strings;8;EpicLadySponge
hell-or-high-water;9;EpicLadySponge
sherpa;9;EpicLadySponge
sully;10;Futuredirector
captain-fantastic;9;Muskrat147
sully;8;MasterRiley
doctor-strange;8;Muskrat147
nerve;8;Spangle
hell-or-high-water;9;TheQuietGamer
captain-fantastic;8;EpicLadySponge
sully;9;Broyax
mr-church;8;bfoore90
hell-or-high-water;8;imthenoob
kubo-and-the-two-strings;9;tjman09
arrival;9;Eliasc
arrival;9;RvwFromUpHere
lights-out;8;tjman09
nerve;8;Futuredirector
hell-or-high-water;8;Meth-dude
kubo-and-the-two-strings;8;imthenoob
arrival;9;Futuredirector
lights-out;8;homer4president
jason-bourne;8;Pamuditha007
doctor-strange;8;SonicHD7
lights-out;8;Spangle
arrival;8;EpicLadySponge
colliding-dreams;8;EpicLadySponge
kubo-and-the-two-strings;9;CineAutoctono
under-the-sun;8;EpicLadySponge
suicide-squad;9;Razv
de-palma;8;EpicLadySponge
kubo-and-the-two-strings;9;Iky009
sausage-party;8;tjman09
arrival;10;MasterRiley
arrival;9;Spangle
the-neon-demon;9;Spangle
arrival;10;Compi24
captain-america-civil-war;9;Compi24
paths-of-the-soul;9;EpicLadySponge
the-neon-demon;10;Meth-dude
captain-america-civil-war;8;Tss5078
the-shallows;9;Futuredirector
warcraft;9;TheQuietGamer
the-conjuring-2;8;tjman09
april-and-the-extraordinary-world;9;EpicLadySponge
the-nice-guys;9;Spangle
raiders!-the-story-of-the-greatest-fan-film-ever-made;8;EpicLadySponge
the-conjuring-2;9;TheQuietGamer
the-conjuring-2;9;Compi24
sausage-party;9;TheQuietGamer
last-days-in-the-desert;8;TheQuietGamer
the-conjuring-2;8;Meth-dude
marguerite;8;EpicLadySponge
suicide-squad;8;Compi24
keanu;8;tjman09
green-room;9;RvwFromUpHere
the-dark-horse;8;EpicLadySponge
kill-zone-2;8;EpicLadySponge
the-nice-guys;8;MovieGuys
arrival;10;abm0
miles-ahead;8;DanBurrito
the-conjuring-2;9;nestoryavith
cemetery-of-splendor;9;EpicLadySponge
boy-and-the-world;8;EpicLadySponge
the-nice-guys;9;TheQuietGamer
green-room;9;TheQuietGamer
green-room;8;Spangle
rams;8;EpicLadySponge
embrace-of-the-serpent;8;EpicLadySponge
captain-america-civil-war;8;EpicLadySponge
the-nice-guys;9;Meth-dude
green-room;8;EpicLadySponge
45-years;10;RvwFromUpHere
kung-fu-panda-3;9;Violett
45-years;10;beingryanjude
my-golden-days;9;EpicLadySponge
eye-in-the-sky;8;Spangle
45-years;8;Spangle
eye-in-the-sky;8;Compi24
captain-america-civil-war;10;Violett
eye-in-the-sky;8;RvwFromUpHere
no-home-movie;8;EpicLadySponge
kung-fu-panda-3;8;EpicLadySponge
mountains-may-depart;8;EpicLadySponge
anomalisa;8;Jacob
kung-fu-panda-3;8;Jacob
midnight-special;8;imthenoob
10-cloverfield-lane;8;Compi24
midnight-special;8;Spangle
captain-america-civil-war;8;BarneyOnMT
10-cloverfield-lane;8;csw12
kung-fu-panda-3;8;tjman09
10-cloverfield-lane;8;Spangle
london-has-fallen;8;Tss5078
10-cloverfield-lane;9;MovieGuys
southbound;8;Meth-dude
zootopia;8;EpicLadySponge
a-war;8;EpicLadySponge
10-cloverfield-lane;8;EpicLadySponge
zootopia;9;Muskrat147
midnight-special;8;Muskrat147
captain-america-civil-war;9;dharma
kung-fu-panda-3;10;FreedomFighters
risen;9;TheQuietGamer
pride-and-prejudice-and-zombies;8;TheQuietGamer
10-cloverfield-lane;8;anshiman
captain-america-civil-war;8;CineAutoctono
10-cloverfield-lane;8;homer4president
captain-america-civil-war;8;DanBurrito
hail-caesar!;8;Spangle
drunk-stoned-brilliant-dead-the-story-of-the-national-lampoon--0001;8;EpicLadySponge
hail-caesar!;8;tjman09
hail-caesar!;8;EpicLadySponge
the-last-man-on-the-moon;8;EpicLadySponge
remember;8;imthenoob
the-messenger-2015;8;EpicLadySponge
dirty-grandpa;8;Tss5078
hail-caesar!;8;DanBurrito
son-of-saul;8;EpicLadySponge
zootopia;9;TheQuietGamer
captain-america-civil-war;9;bfoore90
10-cloverfield-lane;8;RvwFromUpHere
captain-america-civil-war;9;Futuredirector
ride-along-2;8;TheQuietGamer
phoenix;8;Spangle
phoenix;9;EpicLadySponge
joy;9;dharma
captain-america-civil-war;10;Th3GreenHorne7
mediterranea;8;EpicLadySponge
james-white;8;EpicLadySponge
cartel-land;8;EpicLadySponge
carol;10;beingryanjude
of-men-and-war;9;EpicLadySponge
captain-america-civil-war;10;RvwFromUpHere
the-big-short;8;CineAutoctono
10-cloverfield-lane;9;bfoore90
captain-america-civil-war;8;diogomendes
carol;9;Spangle
10-cloverfield-lane;8;tjman09
brooklyn;9;tjman09
brooklyn;8;DanBurrito
carol;8;Jacob
zootopia;8;SEROJ
brooklyn;8;Spangle
captain-america-civil-war;8;Tokyochuchu
the-big-short;8;RvwFromUpHere
brooklyn;9;EpicLadySponge
the-hunger-games-mockingjay---part-2;10;Trev29
star-wars-episode-vii---the-force-awakens;8;grandpajoe6191
the-hunger-games-mockingjay---part-2;10;csw12
10-cloverfield-lane;8;CineAutoctono
the-hunger-games-mockingjay---part-2;9;TheQuietGamer
the-hunger-games-mockingjay---part-2;8;Tss5078
batman-v-superman-dawn-of-justice;8;dharma
racing-extinction;8;EpicLadySponge
becoming-bulletproof;8;EpicLadySponge
the-big-short;8;Spangle
the-hunger-games-mockingjay---part-2;8;BradySmith
the-hateful-eight;9;tjman09
the-big-short;9;MovieGuys
10-cloverfield-lane;8;Muskrat147
spotlight;8;Spangle
star-wars-episode-vii---the-force-awakens;9;Compi24
spotlight;8;RvwFromUpHere
the-big-short;8;tjman09
the-hunger-games-mockingjay---part-2;8;tjman09
the-hateful-eight;8;EpicLadySponge
spotlight;8;Jacob
the-big-short;8;hanneguacamole
spotlight;8;dharma
the-big-short;8;jbrown8989
brooklyn;10;MasterRiley
the-big-short;8;EpicLadySponge
spotlight;9;DanBurrito
carol;8;SEROJ
spotlight;9;beingryanjude
carol;9;EpicLadySponge
man-up;8;moonman1994
spotlight;10;SEROJ
suffragette;8;DanBurrito
spotlight;9;tjman09
the-hateful-eight;8;TheQuietGamer
captain-america-civil-war;8;Muskrat147
a-brilliant-young-mind;9;BarneyOnMT
the-assassin;8;EpicLadySponge
chi-raq;8;Spangle
captain-america-civil-war;9;tjman09
the-good-dinosaur;8;tjman09
spotlight;9;EpicLadySponge
the-hateful-eight;9;beingryanjude
the-big-short;10;bfoore90
welcome-to-leith;8;EpicLadySponge
the-diary-of-a-teenage-girl;9;EpicLadySponge
the-good-dinosaur;9;TheQuietGamer
bridge-of-spies;8;csw12
bridge-of-spies;9;Trev29
the-big-short;8;DanBurrito
goosebumps;8;TheQuietGamer
bridge-of-spies;8;DanBurrito
the-hunger-games-mockingjay---part-2;8;MasterRiley
the-diary-of-a-teenage-girl;8;smijatov
captain-america-civil-war;8;TheQuietGamer
goosebumps;8;DanBurrito
bridge-of-spies;8;Jacob
captain-america-civil-war;10;FreedomFighters
ghostbusters-2016;10;Movielover2400
the-hateful-eight;8;moonman1994
captain-america-civil-war;10;homer4president
the-hateful-eight;8;Jacob
the-hateful-eight;8;dharma
the-hateful-eight;10;Meth-dude
spotlight;8;imthenoob
bridge-of-spies;9;tjman09
experimenter;8;EpicLadySponge
infinitely-polar-bear;9;NikolayG
bridge-of-spies;8;EpicLadySponge
the-visit-2015;8;dharma
bone-tomahawk;8;Meth-dude
pan;10;TheQuietGamer
sicario;8;csw12
the-green-inferno;8;Meth-dude
the-visit-2015;9;TheQuietGamer
suicide-squad;8;Th3GreenHorne7
captain-america-civil-war;9;MasterRiley
suicide-squad;8;DanBurrito
the-walk;9;TheQuietGamer
batman-v-superman-dawn-of-justice;9;Razv
the-hateful-eight;8;RvwFromUpHere
spotlight;8;MasterRiley
sicario;10;RvwFromUpHere
bridge-of-spies;8;MovieGuys
spectre;8;RvwFromUpHere
the-walk;8;tjman09
sicario;9;tjman09
the-walk;8;CineAutoctono
the-square-2013;9;MasterRiley
a-christmas-horror-story;8;TheQuietGamer
captain-america-civil-war;8;SonicHD7
star-wars-episode-vii---the-force-awakens;10;EpicLadySponge
the-walk;8;EpicLadySponge
the-walk;9;MasterRiley
the-hateful-eight;9;Tokyochuchu
ghostbusters-2016;8;Spangle
no-escape;8;Meth-dude
mistress-america;9;beingryanjude
brand-a-second-coming;8;RvwFromUpHere
the-hunting-ground;8;tjman09
sicario;8;beingryanjude
sicario;8;anshiman
the-hateful-eight;8;jbrown8989
sicario;9;Spangle
mississippi-grind;9;bfoore90
american-ultra;10;TheQuietGamer
star-wars-episode-vii---the-force-awakens;8;BigDegs29
the-gift-2015;9;bfoore90
matt-shepard-is-a-friend-of-mine;9;Tss5078
the-gift-2015;8;csw12
the-man-from-uncle;8;Spangle
spectre;8;Tss5078
inside-out-2015;10;Tokyochuchu
the-gift-2015;8;Trev29
the-end-of-the-tour;9;bsykes91
sicario;8;BradySmith
the-end-of-the-tour;10;bfoore90
star-wars-episode-vii---the-force-awakens;10;NikolayG
the-hateful-eight;8;SEROJ
vacation-2015;10;Tss5078
inside-out-2015;10;EpicLadySponge
